id,name,intervalm,minm,maxm,typeid,unitid
10079,РГ-250,1,,,1,1
10082,РГ-600,1,,,1,1
9555,РГК-Ех G-100,4,5,100,1,1
9774,РГК-Ех G-100,2,8,100,1,1
9559,РГК-Ех G-1000,4,40,1250,1,1
9778,РГК-Ех G-1000,2,62,1250,1,1
9556,РГК-Ех G-250,4,13,400,1,1
9775,РГК-Ех G-250,2,20,400,1,1
9553,РГК-Ех G-40,4,2,65,1,1
9772,РГК-Ех G-40,2,3,65,1,1
9557,РГК-Ех G-400,4,20,650,1,1
9776,РГК-Ех G-400,2,32,650,1,1
9554,РГК-Ех G-65,4,3,100,1,1
9773,РГК-Ех G-65,2,5,100,1,1
9558,РГК-Ех G-650,4,32,1000,1,1
9777,РГК-Ех G-650,2,50,1000,1,1
9656,РС-СПА-М,2,,,1,1
9657,РС-СПА-М,2,,,1,1
9658,РС-СПА-М,2,,,1,1
9659,РС-СПА-М,2,,,1,1
10354,РСГ 80 G-100,6,,,1,1
9469,СГ-16М G-100,3,,,1,1
9476,СГ-16М G-200,3,,,1,1
9493,СГ-16МТ G-1600,3,,,1,1
9477,СГ-16МТ G-250,3,,,1,1
9479,СГ-16МТ G-400,3,,,1,1
9518,Delta G-100,5,"0,8",160,1,1
9605,Delta G-100,5,1,160,1,1
9607,Delta G-100,5,"1,6",160,1,1
9608,Delta G-100,5,"3,2",160,1,1
9609,Delta G-100,5,5,160,1,1
9610,Delta G-100,5,8,160,1,1
9519,Delta G-160,5,"1,6",250,1,1
9611,Delta G-160,5,"2,5",250,1,1
9612,Delta G-160,5,5,250,1,1
9614,Delta G-160,5,8,250,1,1
9779,Delta G-160,5,"12,5",250,1,1
9520,Delta G-250,5,"2,5",400,1,1
9615,Delta G-250,5,4,400,1,1
9616,Delta G-250,5,8,400,1,1
9617,Delta G-250,5,13,400,1,1
9618,Delta G-250,5,20,400,1,1
9515,Delta G-40,5,"0,4",65,1,1
9516,Delta G-40,5,"0,6",65,1,1
9596,Delta G-40,5,"1,3",65,1,1
9597,Delta G-40,5,2,65,1,1
9598,Delta G-40,5,3,65,1,1
9521,Delta G-400,5,13,650,1,1
9782,Delta G-400,5,20,650,1,1
9783,Delta G-400,5,32,650,1,1
9517,Delta G-65,5,"0,2",100,1,1
9600,Delta G-65,5,"0,6",100,1,1
9601,Delta G-65,5,1,100,1,1
9602,Delta G-65,5,2,100,1,1
9603,Delta G-65,5,3,100,1,1
9604,Delta G-65,5,5,100,1,1
9522,Delta G-650,5,20,1000,1,1
9786,Delta G-650,5,30,1000,1,1
9787,Delta G-650,5,50,1000,1,1
10842,RABO G-100,5,"0,6",160,1,1
10843,RABO G-100,5,"0,8",160,1,1
10844,RABO G-100,5,1,160,1,1
10845,RABO G-100,5,"1,3",160,1,1
10846,RABO G-100,5,"1,6",160,1,1
10847,RABO G-100,5,2,160,1,1
10848,RABO G-100,5,"2,5",160,1,1
10849,RABO G-100,5,3,160,1,1
10850,RABO G-100,5,5,160,1,1
10851,RABO G-100,5,8,160,1,1
10832,RABO G-160,5,1,250,1,1
10833,RABO G-160,5,"1,3",250,1,1
10834,RABO G-160,5,"1,6",250,1,1
10835,RABO G-160,5,2,250,1,1
10836,RABO G-160,5,"2,5",250,1,1
10837,RABO G-160,5,3,250,1,1
10838,RABO G-160,5,4,250,1,1
10839,RABO G-160,5,5,250,1,1
10840,RABO G-160,5,8,250,1,1
10841,RABO G-160,5,13,250,1,1
10809,RABO G-250,5,"1,6",400,1,1
10823,RABO G-250,5,2,400,1,1
10824,RABO G-250,5,"2,5",400,1,1
10825,RABO G-250,5,3,400,1,1
10826,RABO G-250,5,4,400,1,1
10827,RABO G-250,5,5,400,1,1
10828,RABO G-250,5,6,400,1,1
10829,RABO G-250,5,8,400,1,1
10830,RABO G-250,5,13,400,1,1
10831,RABO G-250,5,20,400,1,1
10862,RABO G-40,5,"0,5",65,1,1
10863,RABO G-40,5,"0,6",65,1,1
10864,RABO G-40,5,"0,8",65,1,1
10865,RABO G-40,5,1,65,1,1
10866,RABO G-40,5,"1,3",65,1,1
10867,RABO G-40,5,2,65,1,1
10868,RABO G-40,5,3,65,1,1
10852,RABO G-65,5,"0,4",100,1,1
10853,RABO G-65,5,"0,5",100,1,1
10854,RABO G-65,5,"0,6",100,1,1
10855,RABO G-65,5,"0,8",100,1,1
10856,RABO G-65,5,1,100,1,1
10857,RABO G-65,5,"1,3",100,1,1
10858,RABO G-65,5,"1,6",100,1,1
10859,RABO G-65,5,2,100,1,1
10860,RABO G-65,5,3,100,1,1
10861,RABO G-65,5,5,100,1,1
9816,RVG G-100,5,1,160,1,1
9817,RVG G-100,5,"1,6",160,1,1
9818,RVG G-100,5,2,160,1,1
10043,RVG G-100,5,"2,5",160,1,1
10044,RVG G-100,5,3,160,1,1
10141,RVG G-100,5,5,160,1,1
10532,RVG G-100,5,8,160,1,1
9583,RVG G-160,5,"1,6",250,1,1
9802,RVG G-160,5,"2,5",250,1,1
9819,RVG G-160,5,3,250,1,1
10052,RVG G-160,5,4,250,1,1
10191,RVG G-160,5,5,250,1,1
10549,RVG G-160,5,8,250,1,1
11595,RVG G-160,5,13,250,1,1
9806,RVG G-250,5,"2,5",400,1,1
9820,RVG G-250,5,4,400,1,1
9821,RVG G-250,5,5,400,1,1
9822,RVG G-250,5,6,400,1,1
9823,RVG G-250,5,8,400,1,1
10143,RVG G-250,5,13,400,1,1
10306,RVG G-250,5,20,400,1,1
